"age","gender","declared_income","premium_term","policy_term","premium_amount","booking_frequency","location","policy_type","current_status"
44,"female",1350000,30,40,30788,"Monthly","urban","ULIP","unmarried"
59,"male",850000,30,40,23047,"Monthly","semi-urban","Endowment","married"
22,"female",1300000,5,15,27069,"Monthly","semi-urban","ULIP","married"
23,"male",1e+06,5,15,15748,"Monthly","rural","Term","married"
33,"male",9e+05,10,20,20070,"Monthly","rural","Term","married"
41,"male",750000,20,30,19160,"Half_yearly","urban","Term","unmarried"
49,"male",8e+05,25,35,23294,"Monthly","urban","Endowment","married"
38,"male",5e+05,15,25,13231,"Half_yearly","urban","Term","widow"
28,"female",750000,5,15,15431,"Monthly","urban","Term","unmarried"
53,"female",1e+06,20,30,25161,"Monthly","urban","Endowment","married"
36,"male",1350000,10,20,29354,"Monthly","rural","ULIP","unmarried"
42,"male",6e+05,30,40,16784,"Yearly","urban","Term","married"
56,"male",7e+05,25,35,22002,"Half_yearly","rural","Endowment","married"
43,"male",3e+05,20,30,9389,"Monthly","semi-urban","Term","married"
26,"male",1350000,5,15,26966,"Yearly","rural","ULIP","unmarried"
24,"female",3e+05,5,15,8778,"Monthly","rural","Term","married"
51,"female",6e+05,30,40,18654,"Monthly","rural","Endowment","unmarried"
30,"female",750000,5,15,14255,"Monthly","semi-urban","Term","married"
36,"male",5e+05,10,20,14419,"Monthly","semi-urban","Term","married"
56,"female",4e+05,30,40,21638,"Monthly","urban","Endowment","married"
21,"female",750000,10,20,14603,"Monthly","urban","Term","unmarried"
18,"female",550000,5,15,14556,"Yearly","urban","Term","married"
57,"male",950000,30,40,25945,"Monthly","urban","Endowment","married"
47,"male",950000,20,30,24027,"Monthly","urban","Endowment","married"
47,"female",350000,30,40,20047,"Monthly","urban","Endowment","widow"
42,"female",7e+05,30,40,15618,"Monthly","rural","Term","widow"
33,"female",750000,10,20,17170,"Monthly","rural","Term","widow"
41,"male",8e+05,25,35,20002,"Quarterly","urban","Term","married"
28,"female",1e+06,5,15,16510,"Monthly","semi-urban","Term","unmarried"
37,"male",1400000,15,25,28318,"Monthly","rural","ULIP","widow"
57,"female",6e+05,25,35,22563,"Monthly","urban","Endowment","unmarried"
20,"male",950000,5,15,15818,"Yearly","semi-urban","Term","married"
46,"female",9e+05,25,35,24265,"Monthly","urban","Endowment","unmarried"
53,"male",1200000,30,40,30935,"Monthly","urban","ULIP","unmarried"
39,"male",1450000,10,20,31860,"Yearly","semi-urban","ULIP","married"
59,"male",1050000,20,30,28655,"Monthly","semi-urban","ULIP","married"
37,"female",850000,15,25,15878,"Monthly","rural","Term","married"
28,"male",3e+05,10,20,8058,"Yearly","rural","Term","married"
25,"female",850000,10,20,16357,"Monthly","urban","Term","married"
38,"male",1250000,10,20,29299,"Half_yearly","urban","ULIP","married"
19,"male",350000,10,20,5785,"Half_yearly","rural","Term","married"
60,"male",1400000,25,35,31467,"Yearly","semi-urban","ULIP","married"
30,"male",1100000,10,20,25958,"Quarterly","urban","ULIP","married"
23,"male",1500000,5,15,27942,"Monthly","semi-urban","ULIP","married"
25,"female",1e+06,10,20,19225,"Monthly","urban","Term","married"
49,"female",650000,20,30,18032,"Quarterly","rural","Endowment","married"
53,"female",1150000,30,40,31540,"Monthly","urban","ULIP","married"
31,"female",850000,20,30,13767,"Monthly","rural","Term","unmarried"
33,"male",6e+05,20,30,13911,"Quarterly","urban","Term","married"
40,"male",5e+05,15,25,13006,"Yearly","rural","Term","unmarried"
50,"female",1050000,30,40,25366,"Monthly","rural","ULIP","married"
57,"female",550000,25,35,17695,"Yearly","rural","Endowment","unmarried"
57,"male",6e+05,25,35,19225,"Monthly","semi-urban","Endowment","married"
27,"male",9e+05,10,20,15953,"Half_yearly","semi-urban","Term","married"
42,"male",3e+05,20,30,10669,"Half_yearly","urban","Term","married"
25,"male",1050000,5,15,25872,"Monthly","urban","ULIP","unmarried"
35,"female",550000,10,20,15473,"Half_yearly","urban","Term","married"
26,"female",2e+05,5,15,6819,"Half_yearly","semi-urban","Term","married"
24,"male",9e+05,5,15,12321,"Half_yearly","semi-urban","Term","unmarried"
24,"male",8e+05,10,20,15462,"Yearly","urban","Term","unmarried"
27,"male",2e+05,10,20,7138,"Yearly","rural","Term","married"
41,"male",250000,30,40,10049,"Yearly","rural","Term","married"
40,"female",5e+05,20,30,16935,"Half_yearly","urban","Term","married"
43,"male",1350000,20,30,31267,"Quarterly","urban","ULIP","married"
60,"female",7e+05,20,30,23043,"Monthly","urban","Endowment","unmarried"
50,"male",5e+05,25,35,15790,"Quarterly","urban","Endowment","married"
46,"female",6e+05,20,30,20867,"Monthly","rural","Endowment","married"
27,"female",5e+05,5,15,11817,"Yearly","rural","Term","married"
30,"male",1500000,10,20,30168,"Monthly","semi-urban","ULIP","married"
60,"male",1300000,25,35,31754,"Quarterly","urban","ULIP","unmarried"
28,"female",1150000,10,20,20923,"Yearly","rural","ULIP","widow"
42,"male",850000,20,30,18598,"Monthly","urban","Term","unmarried"
43,"male",550000,25,35,15227,"Half_yearly","urban","Term","unmarried"
24,"female",6e+05,10,20,8856,"Yearly","rural","Term","married"
42,"female",350000,25,35,13913,"Quarterly","rural","Term","unmarried"
40,"male",8e+05,20,30,19009,"Quarterly","urban","Term","unmarried"
43,"male",350000,25,35,11282,"Monthly","semi-urban","Term","unmarried"
49,"male",1150000,20,30,25708,"Monthly","urban","ULIP","married"
37,"female",1450000,15,25,30121,"Yearly","semi-urban","ULIP","married"
41,"female",1150000,30,40,28988,"Quarterly","rural","ULIP","married"
26,"male",1400000,10,20,31448,"Quarterly","urban","ULIP","married"
58,"female",1200000,25,35,31540,"Monthly","rural","ULIP","unmarried"
54,"female",1250000,30,40,29975,"Yearly","semi-urban","ULIP","married"
40,"male",750000,10,20,13958,"Quarterly","rural","Term","married"
31,"female",8e+05,15,25,15797,"Monthly","semi-urban","Term","married"
23,"female",850000,5,15,13975,"Monthly","rural","Term","married"
44,"female",1350000,25,35,29758,"Quarterly","semi-urban","ULIP","unmarried"
18,"female",9e+05,5,15,17321,"Half_yearly","urban","Term","married"
43,"female",1300000,20,30,31170,"Quarterly","rural","ULIP","married"
59,"female",850000,30,40,26199,"Monthly","urban","Endowment","married"
34,"female",1250000,10,20,31652,"Monthly","urban","ULIP","married"
46,"male",1400000,20,30,31653,"Monthly","urban","ULIP","married"
43,"female",750000,25,35,15203,"Yearly","rural","Term","married"
44,"male",6e+05,25,35,15974,"Monthly","semi-urban","Term","married"
38,"male",750000,15,25,17716,"Monthly","rural","Term","married"
24,"female",4e+05,10,20,8247,"Half_yearly","semi-urban","Term","married"
43,"male",1300000,20,30,30312,"Quarterly","semi-urban","ULIP","married"
58,"male",7e+05,30,40,21263,"Quarterly","semi-urban","Endowment","married"
37,"male",450000,10,20,15617,"Quarterly","urban","Term","unmarried"
23,"male",1500000,5,15,30281,"Yearly","semi-urban","ULIP","married"
47,"male",1450000,25,35,34015,"Monthly","urban","ULIP","married"
48,"female",6e+05,25,35,20576,"Monthly","urban","Endowment","married"
46,"male",5e+05,20,30,19650,"Quarterly","urban","Endowment","married"
34,"male",4e+05,20,30,12952,"Monthly","urban","Term","widow"
54,"female",550000,25,35,19284,"Monthly","rural","Endowment","married"
37,"male",450000,20,30,10156,"Monthly","urban","Term","married"
52,"female",1400000,20,30,30487,"Monthly","rural","ULIP","unmarried"
42,"male",250000,20,30,13391,"Monthly","urban","Term","married"
50,"male",1050000,20,30,26872,"Monthly","rural","ULIP","unmarried"
19,"male",250000,10,20,10739,"Yearly","urban","Term","unmarried"
21,"female",1250000,5,15,26493,"Quarterly","semi-urban","ULIP","married"
27,"male",4e+05,5,15,12356,"Monthly","urban","Term","unmarried"
50,"female",1200000,25,35,27904,"Monthly","urban","ULIP","married"
22,"male",1300000,10,20,29131,"Monthly","rural","ULIP","unmarried"
42,"female",1e+06,25,35,18900,"Quarterly","rural","Term","married"
25,"female",1e+06,5,15,17771,"Monthly","rural","Term","unmarried"
42,"female",550000,25,35,14443,"Quarterly","rural","Term","unmarried"
38,"male",1350000,15,25,30365,"Monthly","semi-urban","ULIP","married"
35,"male",1100000,10,20,26563,"Half_yearly","semi-urban","ULIP","married"
59,"female",350000,25,35,18538,"Quarterly","semi-urban","Endowment","unmarried"
48,"male",1500000,30,40,35670,"Monthly","urban","ULIP","married"
23,"female",8e+05,10,20,18233,"Quarterly","urban","Term","married"
24,"male",5e+05,10,20,10136,"Half_yearly","rural","Term","unmarried"
58,"female",1500000,30,40,31187,"Yearly","semi-urban","ULIP","married"
34,"female",5e+05,15,25,14430,"Quarterly","semi-urban","Term","unmarried"
45,"male",3e+05,20,30,11728,"Half_yearly","urban","Term","married"
57,"male",550000,30,40,18256,"Monthly","semi-urban","Endowment","married"
24,"female",4e+05,10,20,8340,"Quarterly","rural","Term","married"
37,"female",8e+05,20,30,18611,"Monthly","urban","Term","unmarried"
35,"male",5e+05,10,20,10528,"Quarterly","rural","Term","married"
46,"male",1100000,30,40,27661,"Quarterly","urban","ULIP","married"
34,"male",1450000,10,20,30205,"Quarterly","semi-urban","ULIP","unmarried"
50,"male",250000,20,30,15556,"Monthly","semi-urban","Endowment","unmarried"
19,"male",450000,10,20,6970,"Monthly","semi-urban","Term","married"
19,"female",1200000,5,15,26749,"Half_yearly","urban","ULIP","unmarried"
30,"male",1450000,5,15,30388,"Monthly","semi-urban","ULIP","married"
41,"female",650000,30,40,17179,"Monthly","urban","Term","widow"
20,"male",9e+05,5,15,16142,"Half_yearly","urban","Term","married"
35,"male",4e+05,15,25,12015,"Monthly","urban","Term","widow"
19,"female",1200000,5,15,24640,"Quarterly","semi-urban","ULIP","unmarried"
54,"male",1350000,30,40,29471,"Yearly","rural","ULIP","unmarried"
29,"male",650000,5,15,9836,"Quarterly","semi-urban","Term","unmarried"
30,"male",1200000,10,20,28009,"Quarterly","urban","ULIP","married"
59,"female",250000,30,40,19769,"Monthly","urban","Endowment","unmarried"
23,"male",1500000,5,15,32480,"Yearly","urban","ULIP","unmarried"
59,"female",450000,20,30,19328,"Monthly","rural","Endowment","married"
59,"female",5e+05,25,35,18762,"Yearly","semi-urban","Endowment","widow"
55,"female",3e+05,30,40,16848,"Quarterly","rural","Endowment","married"
33,"male",1300000,10,20,29146,"Monthly","urban","ULIP","unmarried"
52,"female",1300000,25,35,29497,"Monthly","urban","ULIP","unmarried"
53,"male",450000,25,35,21135,"Monthly","urban","Endowment","married"
44,"female",6e+05,25,35,11783,"Quarterly","semi-urban","Term","married"
44,"male",650000,20,30,14776,"Monthly","rural","Term","married"
52,"male",1150000,30,40,30048,"Half_yearly","semi-urban","ULIP","married"
40,"female",1100000,20,30,24433,"Monthly","semi-urban","ULIP","married"
20,"female",950000,10,20,17381,"Monthly","urban","Term","married"
48,"female",750000,20,30,22097,"Yearly","urban","Endowment","unmarried"
19,"female",450000,10,20,11863,"Quarterly","urban","Term","unmarried"
40,"female",750000,20,30,16164,"Quarterly","urban","Term","married"
20,"male",1400000,5,15,29826,"Monthly","rural","ULIP","widow"
26,"male",1350000,5,15,28515,"Yearly","urban","ULIP","unmarried"
56,"male",1300000,25,35,31253,"Half_yearly","urban","ULIP","widow"
47,"female",7e+05,20,30,20216,"Yearly","semi-urban","Endowment","married"
48,"male",1050000,20,30,27027,"Quarterly","urban","ULIP","widow"
47,"male",550000,25,35,15977,"Quarterly","rural","Endowment","married"
26,"female",1300000,5,15,30934,"Quarterly","urban","ULIP","married"
53,"female",250000,20,30,15531,"Monthly","rural","Endowment","married"
51,"female",8e+05,25,35,21952,"Monthly","urban","Endowment","married"
39,"female",450000,20,30,13391,"Half_yearly","semi-urban","Term","married"
58,"female",1e+06,20,30,25929,"Quarterly","semi-urban","Endowment","unmarried"
45,"female",1200000,25,35,29457,"Yearly","rural","ULIP","married"
46,"male",1150000,25,35,30500,"Monthly","urban","ULIP","married"
60,"female",2e+05,30,40,19561,"Monthly","semi-urban","Endowment","unmarried"
56,"female",1350000,20,30,29221,"Yearly","urban","ULIP","married"
54,"female",850000,20,30,23235,"Quarterly","semi-urban","Endowment","unmarried"
60,"male",5e+05,25,35,20869,"Quarterly","rural","Endowment","married"
50,"male",1200000,25,35,30350,"Monthly","urban","ULIP","married"
36,"male",1200000,10,20,26939,"Quarterly","urban","ULIP","unmarried"
29,"male",1250000,5,15,24609,"Monthly","semi-urban","ULIP","married"
51,"male",1e+06,20,30,23817,"Half_yearly","rural","Endowment","married"
38,"male",1300000,20,30,29144,"Monthly","rural","ULIP","married"
34,"female",7e+05,15,25,13066,"Quarterly","semi-urban","Term","married"
29,"female",250000,5,15,8988,"Half_yearly","urban","Term","married"
47,"male",850000,30,40,22041,"Monthly","urban","Endowment","unmarried"
52,"male",4e+05,30,40,18688,"Yearly","urban","Endowment","married"
47,"male",2e+05,20,30,14456,"Monthly","rural","Endowment","unmarried"
42,"male",1500000,30,40,30862,"Yearly","semi-urban","ULIP","unmarried"
20,"male",4e+05,10,20,10103,"Monthly","urban","Term","unmarried"
35,"male",1450000,20,30,31969,"Half_yearly","urban","ULIP","married"
49,"male",3e+05,30,40,14242,"Yearly","semi-urban","Endowment","married"
34,"male",1050000,15,25,24598,"Yearly","rural","ULIP","unmarried"
55,"male",750000,25,35,22470,"Yearly","urban","Endowment","married"
59,"male",1150000,30,40,33425,"Monthly","urban","ULIP","married"
57,"female",5e+05,25,35,19936,"Yearly","semi-urban","Endowment","married"
59,"female",1400000,25,35,31569,"Monthly","semi-urban","ULIP","unmarried"
49,"female",9e+05,30,40,19894,"Monthly","semi-urban","Endowment","unmarried"
43,"male",1150000,20,30,30853,"Quarterly","urban","ULIP","married"
30,"male",1450000,10,20,28706,"Half_yearly","rural","ULIP","married"
37,"male",1250000,20,30,30044,"Monthly","semi-urban","ULIP","unmarried"
55,"male",8e+05,20,30,20294,"Quarterly","rural","Endowment","unmarried"
37,"male",350000,10,20,12624,"Monthly","urban","Term","married"
46,"male",1100000,25,35,28881,"Yearly","urban","ULIP","unmarried"
37,"male",1350000,20,30,27989,"Monthly","semi-urban","ULIP","unmarried"
47,"male",850000,25,35,23013,"Half_yearly","semi-urban","Endowment","unmarried"
58,"female",1300000,20,30,33408,"Half_yearly","urban","ULIP","unmarried"
25,"male",6e+05,5,15,12202,"Quarterly","rural","Term","married"
56,"male",950000,25,35,24107,"Monthly","rural","Endowment","married"
27,"female",550000,10,20,14991,"Monthly","urban","Term","married"
34,"male",5e+05,20,30,12993,"Yearly","semi-urban","Term","married"
35,"male",6e+05,15,25,15228,"Quarterly","urban","Term","married"
57,"male",8e+05,20,30,23773,"Quarterly","urban","Endowment","married"
59,"male",650000,20,30,20742,"Half_yearly","rural","Endowment","unmarried"
28,"male",1450000,5,15,29107,"Quarterly","semi-urban","ULIP","married"
19,"female",1050000,10,20,24991,"Quarterly","urban","ULIP","married"
36,"female",1200000,15,25,25387,"Monthly","semi-urban","ULIP","married"
30,"male",1450000,10,20,31548,"Half_yearly","urban","ULIP","married"
30,"male",4e+05,10,20,12085,"Quarterly","semi-urban","Term","unmarried"
48,"female",1100000,25,35,29662,"Half_yearly","rural","ULIP","unmarried"
47,"male",5e+05,25,35,19543,"Quarterly","urban","Endowment","unmarried"
39,"male",350000,20,30,12511,"Quarterly","urban","Term","married"
47,"female",1450000,20,30,32019,"Quarterly","urban","ULIP","unmarried"
27,"female",1300000,5,15,28863,"Monthly","urban","ULIP","married"
33,"male",1200000,15,25,30054,"Half_yearly","urban","ULIP","unmarried"
22,"female",1350000,10,20,27308,"Monthly","semi-urban","ULIP","unmarried"
53,"male",9e+05,30,40,21875,"Monthly","rural","Endowment","married"
50,"female",1200000,20,30,32084,"Quarterly","urban","ULIP","unmarried"
33,"male",1100000,20,30,26617,"Monthly","urban","ULIP","married"
45,"male",650000,20,30,15882,"Monthly","urban","Term","married"
29,"female",450000,10,20,13125,"Monthly","urban","Term","unmarried"
45,"male",1500000,25,35,33718,"Quarterly","rural","ULIP","unmarried"
19,"male",650000,5,15,10690,"Half_yearly","semi-urban","Term","married"
29,"female",550000,10,20,16204,"Monthly","urban","Term","married"
23,"male",550000,5,15,11060,"Monthly","urban","Term","unmarried"
33,"male",1500000,20,30,31316,"Yearly","urban","ULIP","married"
32,"female",7e+05,10,20,17396,"Monthly","urban","Term","married"
36,"male",7e+05,20,30,14930,"Half_yearly","urban","Term","unmarried"
20,"female",1450000,10,20,31988,"Monthly","urban","ULIP","married"
50,"male",650000,20,30,18110,"Monthly","urban","Endowment","married"
50,"male",550000,20,30,21415,"Monthly","urban","Endowment","unmarried"
28,"female",850000,5,15,12823,"Yearly","semi-urban","Term","married"
53,"male",9e+05,25,35,24069,"Yearly","rural","Endowment","married"
27,"male",250000,5,15,11187,"Quarterly","rural","Term","married"
59,"female",4e+05,25,35,19860,"Monthly","urban","Endowment","married"
41,"male",7e+05,20,30,13761,"Monthly","semi-urban","Term","unmarried"
45,"female",950000,30,40,18662,"Half_yearly","rural","Term","married"
56,"female",5e+05,25,35,18323,"Monthly","semi-urban","Endowment","married"
35,"male",1300000,10,20,31131,"Quarterly","urban","ULIP","widow"
34,"male",750000,15,25,13552,"Yearly","urban","Term","married"
37,"female",450000,10,20,13256,"Monthly","rural","Term","married"
26,"male",550000,5,15,13472,"Monthly","urban","Term","married"
28,"male",4e+05,5,15,9283,"Yearly","semi-urban","Term","married"
25,"male",4e+05,5,15,11170,"Monthly","urban","Term","unmarried"
22,"female",6e+05,5,15,14346,"Monthly","urban","Term","married"
46,"male",1300000,25,35,31429,"Quarterly","urban","ULIP","married"
23,"male",1100000,5,15,24111,"Monthly","urban","ULIP","unmarried"
27,"male",2e+05,5,15,8904,"Monthly","urban","Term","widow"
43,"male",8e+05,30,40,19904,"Quarterly","urban","Term","married"
26,"female",7e+05,10,20,15679,"Monthly","urban","Term","married"
28,"male",1350000,5,15,29099,"Yearly","rural","ULIP","married"
23,"female",1250000,10,20,27775,"Monthly","urban","ULIP","unmarried"
49,"male",850000,30,40,21290,"Yearly","rural","Endowment","unmarried"
29,"male",250000,10,20,8043,"Monthly","semi-urban","Term","unmarried"
36,"male",950000,20,30,21602,"Monthly","urban","Term","married"
44,"male",6e+05,30,40,14901,"Monthly","semi-urban","Term","married"
49,"female",1e+06,20,30,23825,"Yearly","urban","Endowment","married"
44,"female",950000,30,40,17251,"Monthly","semi-urban","Term","unmarried"
47,"male",1200000,20,30,28187,"Monthly","semi-urban","ULIP","married"
21,"female",5e+05,5,15,13995,"Half_yearly","urban","Term","unmarried"
41,"male",850000,30,40,18825,"Half_yearly","urban","Term","married"
45,"female",6e+05,30,40,14345,"Yearly","semi-urban","Term","married"
20,"male",1100000,10,20,24834,"Quarterly","rural","ULIP","widow"
57,"female",450000,25,35,14689,"Yearly","semi-urban","Endowment","unmarried"
23,"male",850000,10,20,15571,"Monthly","urban","Term","unmarried"
53,"female",6e+05,30,40,21501,"Yearly","rural","Endowment","unmarried"
59,"male",7e+05,30,40,19222,"Quarterly","semi-urban","Endowment","unmarried"
47,"female",7e+05,30,40,19993,"Half_yearly","semi-urban","Endowment","unmarried"
27,"female",3e+05,5,15,12715,"Monthly","urban","Term","married"
42,"female",950000,20,30,17768,"Monthly","urban","Term","unmarried"
55,"male",550000,25,35,17786,"Monthly","semi-urban","Endowment","married"
53,"male",1500000,25,35,34778,"Monthly","urban","ULIP","widow"
58,"female",2e+05,30,40,18847,"Monthly","rural","Endowment","married"
